Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;100;80;120;100;31;31;0;100;0;1;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;97;77;117;100;31;31;0;97;0;2;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;97;77;117;100;31;31;0;97;0;Totalt i retning Tromsdalen;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;100;80;120;100;31;31;0;100;0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;197;157;237;100;31;31;0;197;0;Totalt;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;104;84;124;100;28;28;0;104;0;1;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;94;75;113;100;28;28;0;94;0;2;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;94;75;113;100;28;28;0;94;0;Totalt i retning Tromsdalen;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;104;84;124;100;28;28;0;104;0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;198;159;237;100;28;28;0;198;0;Totalt;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;156;130;182;100;31;31;0;156;0;1;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;156;130;182;100;31;31;0;156;0;2;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;156;130;182;100;31;31;0;156;0;Totalt i retning Tromsdalen;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;156;130;182;100;31;31;0;156;0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;312;259;365;100;31;31;0;312;0;Totalt;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;162;124;200;100;30;30;0;162;0;1;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;163;125;201;100;30;30;0;163;0;2;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;163;125;201;100;30;30;0;163;0;Totalt i retning Tromsdalen;-;-;-;-;-;-;-;-
79978B1125914;Tromsøbrua sykkel;FV862 S1D1 m1710;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;162;124;200;100;30;30;0;162;0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
