Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;7364;6803;7925;100;31;31;0;0;100;1;7002;362;92;105;154;10;10;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;7366;6842;7890;100;31;31;0;0;100;2;7019;347;84;100;153;10;10;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;7366;6842;7890;100;31;31;0;0;100;Totalt i retning Tromsø;7019;347;84;100;153;10;10;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;7365;6804;7926;100;31;31;0;1;100;Totalt i retning Kvaløya;7002;362;92;105;154;10;10;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-01-01T00:00+01:00;2021-02-01T00:00+01:00;2021;1;14731;13648;15814;100;31;31;0;1;100;Totalt;14020;709;176;205;308;21;21;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;7802;7212;8392;100;28;28;0;2;100;1;7399;401;98;124;164;14;14;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;7799;7258;8340;100;28;28;0;0;100;2;7403;395;95;122;164;14;14;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;7799;7258;8340;100;28;28;0;1;100;Totalt i retning Tromsø;7403;395;95;122;164;14;14;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;7802;7212;8392;100;28;28;0;2;100;Totalt i retning Kvaløya;7399;401;98;124;164;14;14;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-02-01T00:00+01:00;2021-03-01T00:00+01:00;2021;2;15601;14471;16731;100;28;28;0;3;100;Totalt;14802;796;193;246;329;29;29;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;7754;7212;8296;100;31;31;0;1;100;1;7352;401;97;125;164;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;7720;7219;8221;100;31;31;0;0;100;2;7311;409;98;130;165;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;7720;7219;8221;100;31;31;0;0;100;Totalt i retning Tromsø;7311;409;98;130;165;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;7753;7211;8295;100;31;31;0;0;100;Totalt i retning Kvaløya;7352;401;97;125;164;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-03-01T00:00+01:00;2021-04-01T00:00+02:00;2021;3;15474;14433;16515;100;31;31;0;1;100;Totalt;14663;810;195;255;329;30;30;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;7994;7275;8713;100;30;30;0;3;100;1;7589;402;103;132;153;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;8010;7337;8683;100;30;30;0;1;100;2;7614;395;98;129;153;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;8009;7336;8682;100;30;30;0;0;100;Totalt i retning Tromsø;7614;395;98;129;153;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;7994;7275;8713;100;30;30;0;3;100;Totalt i retning Kvaløya;7589;402;103;132;153;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-04-01T00:00+02:00;2021-05-01T00:00+02:00;2021;4;16003;14614;17392;100;30;30;0;3;100;Totalt;15203;797;200;261;306;30;30;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;8693;7982;9404;100;31;31;0;4;100;1;8202;487;133;189;150;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;8697;8040;9354;100;31;31;0;1;100;2;8223;473;126;182;150;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;8696;8039;9353;100;31;31;0;0;100;Totalt i retning Tromsø;8223;472;126;182;150;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;8693;7982;9404;100;31;31;0;4;100;Totalt i retning Kvaløya;8202;487;133;189;150;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-05-01T00:00+02:00;2021-06-01T00:00+02:00;2021;5;17389;16027;18751;100;31;31;0;4;100;Totalt;16425;960;259;371;300;30;30;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-06-01T00:00+02:00;2021-07-01T00:00+02:00;2021;6;9511;8913;10109;100;30;30;0;2;100;1;8895;615;177;261;161;16;16;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-06-01T00:00+02:00;2021-07-01T00:00+02:00;2021;6;9479;8939;10019;100;30;30;0;3;100;2;8880;596;164;254;162;15;15;0
